"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5278","test","chromium","2026-02-28","passed","2026-02-28","","abc.spec.js","",""
"","8066","test","firefox","2026-02-28","passed","2026-02-28","","abc.spec.js","",""
"","2793","test","webkit","2026-02-28","passed","2026-02-28","","login_test2.spec.js","",""
"","2839","test","webkit","2026-02-28","passed","2026-02-28","","abc.spec.js","",""
"","5007","test","chromium","2026-02-28","passed","2026-02-28","","login_test2.spec.js","",""
"","6575","test","firefox","2026-02-28","passed","2026-02-28","","login_test2.spec.js","",""
